gid,kind,peak_nA,ton_ms,period_ms,duty,avg_nA,true_avg_nA,rep,mode,t_ms,dev_nA,i_nA,x_nA,cal_nA,train_s,rb_nA
P5,pulse,40.0,2.5,10.0,0.25,10.0,9.84251968503937,5,1,1000,9.895,9.895,9.895,9.895,17.369141399998625,nan
P6,pulse,40.0,1.75,7.0,0.25,10.0,9.776536312849162,1,1,1000,9.824,9.824,9.824,9.824,17.442895000000135,nan
P6,pulse,40.0,1.75,7.0,0.25,10.0,9.776536312849162,2,1,1000,9.83,9.83,9.83,9.83,17.442895000000135,nan
P6,pulse,40.0,1.75,7.0,0.25,10.0,9.776536312849162,3,1,1000,9.802,9.802,9.802,9.802,17.442895000000135,nan
P6,pulse,40.0,1.75,7.0,0.25,10.0,9.776536312849162,4,1,1000,9.852,9.852,9.852,9.852,17.442895000000135,nan
P6,pulse,40.0,1.75,7.0,0.25,10.0,9.776536312849162,5,1,1000,9.803,9.803,9.803,9.803,17.442895000000135,nan
P7,pulse,40.0,1.25,5.0,0.25,10.0,9.689922480620154,1,1,1000,9.759,9.759,9.759,9.759,17.553330499998992,nan
P7,pulse,40.0,1.25,5.0,0.25,10.0,9.689922480620154,2,1,1000,9.785,9.785,9.785,9.785,17.553330499998992,nan
P7,pulse,40.0,1.25,5.0,0.25,10.0,9.689922480620154,3,1,1000,9.754,9.754,9.754,9.754,17.553330499998992,nan
P7,pulse,40.0,1.25,5.0,0.25,10.0,9.689922480620154,4,1,1000,9.758,9.758,9.758,9.758,17.553330499998992,nan
P7,pulse,40.0,1.25,5.0,0.25,10.0,9.689922480620154,5,1,1000,9.762,9.762,9.762,9.762,17.553330499998992,nan
P8,pulse,40.0,0.875,3.5,0.25,10.0,9.562841530054644,1,1,1000,9.663,9.663,9.663,9.663,17.745072899997467,nan
P8,pulse,40.0,0.875,3.5,0.25,10.0,9.562841530054644,2,1,1000,9.672,9.672,9.672,9.672,17.745072899997467,nan
P8,pulse,40.0,0.875,3.5,0.25,10.0,9.562841530054644,3,1,1000,9.662,9.662,9.662,9.662,17.745072899997467,nan
