序号,设定I_s/nA,回读I_std/nA,I_m1/nA,I_m2/nA,I_m3/nA,平均I_m/nA,s/nA,Delta/nA,delta/%,u_c/nA,Delta/u_c
149,-42.500000,-42.508900,-42.509212,-42.508432,-42.509461,-42.509035,0.000537,-0.000135,0.000318,0.032780,-0.004120
150,43.000000,42.997503,42.996704,42.998123,43.000431,42.998419,0.001881,0.000916,0.002131,0.032942,0.027816
151,-43.000000,-43.009906,-43.007456,-43.008879,-43.007054,-43.007796,0.000959,0.002109,-0.004904,0.032933,0.064042
152,43.500000,43.498572,43.498900,43.498471,43.500880,43.499417,0.001285,0.000845,0.001942,0.033083,0.025538
153,-43.500000,-43.508817,-43.509397,-43.509896,-43.506881,-43.508725,0.001616,0.000092,-0.000212,0.033091,0.002782
154,44.000000,43.997625,44.000103,43.996640,43.998683,43.998475,0.001740,0.000850,0.001933,0.033240,0.025582
155,-44.000000,-44.010197,-44.011609,-44.010299,-44.011859,-44.011256,0.000838,-0.001058,0.002405,0.033232,-0.031846
156,44.500000,44.499036,44.500594,44.500610,44.500189,44.500464,0.000239,0.001428,0.003210,0.033375,0.042795
157,-44.500000,-44.509442,-44.509231,-44.508373,-44.511290,-44.509632,0.001499,-0.000190,0.000427,0.033389,-0.005686
158,45.000000,44.998058,44.999994,44.999557,45.000540,45.000030,0.000492,0.001972,0.004382,0.033525,0.058819
159,-45.000000,-45.008742,-45.006414,-45.008183,-45.005377,-45.006658,0.001419,0.002084,-0.004630,0.033537,0.062132
