point_nA,rep,mode,t_ms,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,line,true_nA,dev_avg_nA
10,3,1,1000,10.108,10.108,2476,3774,30585,8460,30585,8460,I=+10.108 nA X=+10.108 nA MODE=1 T=1000ms RAW m=2476 n=3774 INT1=30585 INT2=8460 EXT1=30585 EXT2=8460,9.998311111111112,10.104333333333335
5,1,1,1000,5.038,5.038,2830,3420,31156,49738,31156,49738,I=+5.038 nA X=+5.038 nA MODE=1 T=1000ms RAW m=2830 n=3420 INT1=31156 INT2=49738 EXT1=31156 EXT2=49738,4.9986625,5.049333333333333
5,2,1,1000,5.056,5.056,2799,3451,30395,17531,30395,17531,I=+5.056 nA X=+5.056 nA MODE=1 T=1000ms RAW m=2799 n=3451 INT1=30395 INT2=17531 EXT1=30395 EXT2=17531,4.9986625,5.049333333333333
5,3,1,1000,5.054,5.054,2798,3452,30413,16325,30413,16325,I=+5.054 nA X=+5.054 nA MODE=1 T=1000ms RAW m=2798 n=3452 INT1=30413 INT2=16325 EXT1=30413 EXT2=16325,4.9986625,5.049333333333333
0,1,2,10000,-0.002,-0.002,31269,31231,30569,41507,30569,41507,I=-0.002 nA X=-0.002 nA MODE=2 T=10000ms RAW m=31269 n=31231 INT1=30569 INT2=41507 EXT1=30569 EXT2=41507,-0.00015747542857142858,-0.0013333333333333333
0,2,2,10000,0.0,0.0,31244,31256,30937,16431,30937,16431,I=+0.000 nA X=+0.000 nA MODE=2 T=10000ms RAW m=31244 n=31256 INT1=30937 INT2=16431 EXT1=30937 EXT2=16431,-0.00015747542857142858,-0.0013333333333333333
0,3,2,10000,-0.002,-0.002,31280,31220,30319,52602,30319,52602,I=-0.002 nA X=-0.002 nA MODE=2 T=10000ms RAW m=31280 n=31220 INT1=30319 INT2=52602 EXT1=30319 EXT2=52602,-0.00015747542857142858,-0.0013333333333333333
-5,1,1,1000,-5.048,-5.048,3425,2825,30482,14972,30482,14972,I=-5.048 nA X=-5.048 nA MODE=1 T=1000ms RAW m=3425 n=2825 INT1=30482 INT2=14972 EXT1=30482 EXT2=14972,-5.00284625,-5.058666666666666
-5,2,1,1000,-5.065,-5.065,3454,2796,30997,44914,30997,44914,I=-5.065 nA X=-5.065 nA MODE=1 T=1000ms RAW m=3454 n=2796 INT1=30997 INT2=44914 EXT1=30997 EXT2=44914,-5.00284625,-5.058666666666666
-5,3,1,1000,-5.063,-5.063,3450,2800,31228,41067,31228,41067,I=-5.063 nA X=-5.063 nA MODE=1 T=1000ms RAW m=3450 n=2800 INT1=31228 INT2=41067 EXT1=31228 EXT2=41067,-5.00284625,-5.058666666666666
