set_nA,rep,true_nA,dev_nA,dev_ext_nA,m,n,int1,int2,ext1,ext2,t_ms,mode,wave_min,wave_max,wave_mean,wave_bad,rng_A,baud,warmup,t_settle_ms,t_warm_ms,t_meas_ms,t_xfer_ms,npz,line
0.5,1,0.499901888888889,0.5,0.5,30937,31563,30755,23553,30755,23553,10000,2,1969,59570,30809.4,0,1e-09,115200,always,3517,1026,11261,1096,w_p0000_5000_r1.npz,I=+0.500 nA X=+0.500 nA MODE=2 T=10000ms CAL=+0.500 RAW m=30937 n=31563 INT1=30755 INT2=23553 EXT1=30755 EXT2=23553
0.5,2,0.4999068,0.5,0.5,30947,31553,31263,34139,31263,34139,10000,2,1980,59475,30758.8,0,1e-09,115200,always,3517,1026,12063,1096,w_p0000_5000_r2.npz,I=+0.500 nA X=+0.500 nA MODE=2 T=10000ms CAL=+0.500 RAW m=30947 n=31553 INT1=31263 INT2=34139 EXT1=31263 EXT2=34139
0.5,3,0.4998948888888889,0.5,0.5,30944,31556,31084,30946,31084,30946,10000,2,2091,59460,30755.0,0,1e-09,115200,always,3517,1026,11234,1096,w_p0000_5000_r3.npz,I=+0.500 nA X=+0.500 nA MODE=2 T=10000ms CAL=+0.500 RAW m=30944 n=31556 INT1=31084 INT2=30946 EXT1=31084 EXT2=30946
1.0,1,0.999903,1.004,1.004,3072,3178,31107,40560,31107,40560,1000,1,2003,59488,30778.7,0,1e-09,115200,always,3497,1026,1204,1096,w_p0001_0000_r1.npz,I=+1.004 nA X=+1.004 nA MODE=1 T=1000ms CAL=+1.004 RAW m=3072 n=3178 INT1=31107 INT2=40560 EXT1=31107 EXT2=40560
1.0,2,0.999909,1.0,1.0,3053,3197,30538,20361,30538,20361,1000,1,2040,59527,30802.7,0,1e-09,115200,always,3497,1026,1609,1096,w_p0001_0000_r2.npz,I=+1.000 nA X=+1.000 nA MODE=1 T=1000ms CAL=+1.000 RAW m=3053 n=3197 INT1=30538 INT2=20361 EXT1=30538 EXT2=20361
1.0,3,0.9999059,0.999,0.999,30632,31868,31292,33266,31292,33266,10000,2,2040,59480,30754.2,0,1e-09,115200,always,3497,1026,12068,1096,w_p0001_0000_r3.npz,I=+0.999 nA X=+0.999 nA MODE=2 T=10000ms CAL=+0.999 RAW m=30632 n=31868 INT1=31292 INT2=33266 EXT1=31292 EXT2=33266
2.0,1,1.9987350000000002,2.0,2.0,3017,3233,31107,48309,31107,48309,1000,1,2058,59477,30762.6,0,1e-08,115200,always,3496,1027,1187,1096,w_p0002_0000_r1.npz,I=+2.000 nA X=+2.000 nA MODE=1 T=1000ms CAL=+2.000 RAW m=3017 n=3233 INT1=31107 INT2=48309 EXT1=31107 EXT2=48309
2.0,2,1.9986766666666667,1.996,1.996,2981,3269,30765,11017,30765,11017,1000,1,2033,59496,30859.0,0,1e-08,115200,always,3496,1027,1181,1096,w_p0002_0000_r2.npz,I=+1.996 nA X=+1.996 nA MODE=1 T=1000ms CAL=+1.996 RAW m=2981 n=3269 INT1=30765 INT2=11017 EXT1=30765 EXT2=11017
2.0,3,1.998733333333333,1.996,1.996,2988,3262,30288,17632,30288,17632,1000,1,2060,59493,30824.1,0,1e-08,115200,always,3496,1027,1181,1096,w_p0002_0000_r3.npz,I=+1.996 nA X=+1.996 nA MODE=1 T=1000ms CAL=+1.996 RAW m=2988 n=3262 INT1=30288 INT2=17632 EXT1=30288 EXT2=17632
4.0,1,3.99882,3.999,3.999,2896,3354,31133,53060,31133,53060,1000,1,2095,59634,30715.1,0,1e-08,115200,always,3497,1028,1179,1096,w_p0004_0000_r1.npz,I=+3.999 nA X=+3.999 nA MODE=1 T=1000ms CAL=+3.999 RAW m=2896 n=3354 INT1=31133 INT2=53060 EXT1=31133 EXT2=53060
4.0,2,3.9988433333333333,3.996,3.996,2852,3398,30307,7186,30307,7186,1000,1,2204,59582,30879.6,0,1e-08,115200,always,3497,1028,1180,1096,w_p0004_0000_r2.npz,I=+3.996 nA X=+3.996 nA MODE=1 T=1000ms CAL=+3.996 RAW m=2852 n=3398 INT1=30307 INT2=7186 EXT1=30307 EXT2=7186
4.0,3,3.9989650000000005,3.996,3.996,2852,3398,30361,7206,30361,7206,1000,1,2299,59600,30886.9,0,1e-08,115200,always,3497,1028,1187,1096,w_p0004_0000_r3.npz,I=+3.996 nA X=+3.996 nA MODE=1 T=1000ms CAL=+3.996 RAW m=2852 n=3398 INT1=30361 INT2=7206 EXT1=30361 EXT2=7206
